2026-03-10 15:34:09,217 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479722,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,219 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,220 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,220 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479723,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,221 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,221 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,222 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479724,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,222 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,222 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,223 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479725,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,223 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,223 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,224 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479726,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,224 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,228 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,230 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479727,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,233 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,236 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,238 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479728,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,240 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,241 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,243 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479729,"p":"70993.46000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,244 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,244 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,246 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479730,"p":"70993.47000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,247 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,247 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,248 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479731,"p":"70993.47000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,248 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,249 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,249 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479732,"p":"70994.94000000","q":"0.00300000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,249 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,250 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,250 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479733,"p":"70994.99000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,251 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,251 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,252 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479734,"p":"70994.99000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,252 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,253 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,253 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479735,"p":"70995.14000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,253 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,254 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,254 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479736,"p":"70995.14000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,254 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,254 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,255 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479737,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,255 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,255 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,256 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479738,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,256 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,256 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,257 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479739,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,257 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,257 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479740,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
2026-03-10 15:34:09,258 | DEBUG    | cryptobot.websocket | Received message: {"stream":"btcusdt@trade","data":{"e":"trade","E":1773137042254,"s":"BTCUSDT","t":6087479741,"p":"70995.39000000","q":"0.00008000","T":1773137042253,"m":false,"M":true}}...
2026-03-10 15:34:09,259 | DEBUG    | cryptobot.websocket | Combined stream: btcusdt@trade
2026-03-10 15:34:09,259 | DEBUG    | cryptobot.main | Running strategy analysis for BTCUSDT
